SADDR:SPORT            DADDR:DPORT            SEQ          ACK          TOTAL      MAC        IP         TCP       
10.64.60.31:443        10.208.150.159:53294   748081833    3862446239   179        84         6          88        
10.64.60.31:443        10.208.150.159:53294   748091703    3862446239   256        18446677862557784 0          66211152024
10.64.60.31:443        10.208.150.159:53294   748092153    3862446239   259        146        2          109       
10.64.60.31:443        10.208.150.159:53294   748100613    3862446239   302        18446677862557764 0          66211152091
10.64.60.31:443        10.208.150.159:53294   748100801    3862446239   307        133        1          171       
10.64.60.31:443        10.208.150.159:53294   748123173    3862446239   229        159        2          68        
10.64.60.31:443        10.208.150.159:53294   748148553    3862446239   189        18446677862557564 0          66211152177
10.64.60.31:443        10.208.150.159:53294   748173933    3862446239   184        116        1          66        
10.64.60.31:443        10.208.150.159:53294   748199313    3862446239   186        18446677862555188 0          66211154550
153.3.237.193:443      10.208.150.159:42154   2577599339   2998660129   14591      14393      5          192       
10.64.60.31:443        10.208.150.159:53294   748204953    3862446239   109        42         5          61        
10.64.60.31:443        10.208.150.159:53294   748213413    3862446239   280        90         5          183       
10.64.60.31:443        10.208.150.159:53294   748238793    3862446239   303        18446677862552276 0          66211157578
10.64.60.31:443        10.208.150.159:53294   748241613    3862446239   194        154        1          38        
10.64.60.31:443        10.208.150.159:53294   748266993    3862446239   202        18446677862551344 0          66211158411
153.3.237.193:443      10.208.150.159:42146   4118566571   3571008440   18485      18302      3          179       
10.64.60.31:443        10.208.150.159:53294   748292373    3862446239   58         8          3          46        
10.64.60.31:443        10.208.150.159:53294   748293783    3862446239   63         18446677862550600 0          66211159013
153.3.237.193:443      10.208.150.159:42166   2915046124   672245410    125        50         1          73        
153.3.237.193:443      10.208.150.159:42142   3206726457   3049697311   111        6          2          102       
153.3.237.193:443      10.208.150.159:42142   3206726831   3049697311   215        12         0          201       
153.3.237.193:443      10.208.150.159:42166   2915046282   672246438    157        15         5          136       
153.3.237.193:443      10.208.150.159:42166   2915046651   672246438    298        28         1          267       
10.64.60.31:443        10.208.150.159:53294   748294074    3862446889   167        44         4          117       
10.64.60.31:443        10.208.150.159:53294   748296867    3862446889   253        92         1          159       
10.64.60.31:443        10.208.150.159:34234   3344607401   3067461439   393        13         1          378       
10.64.60.31:443        10.208.150.159:34234   3344611118   3067461439   476        29         1          445       
10.64.60.31:443        10.208.150.159:34234   3344612273   3067461439   486        31         0          454       
34.120.208.123:443     10.208.150.159:55184   1202999169   1445992078   7123       7056       3          62        
10.64.60.31:443        10.208.150.159:34234   3344612307   3067462078   128        23         4          100       
10.64.60.31:443        10.208.150.159:34234   3344616015   3067462078   237        72         1          163       
10.64.60.31:443        10.208.150.159:34234   3344617182   3067462078   249        76         1          171       
34.120.208.123:443     10.208.150.159:44870   1333368260   3100973156   11279      11109      4          166       
34.120.208.123:443     10.208.150.159:55184   1202999325   1445992129   98         7          4          85        
34.120.208.123:443     10.208.150.159:55184   1202999394   1445992603   215        25         17         173       
34.120.208.123:443     10.208.150.159:55184   1202999432   1445993163   159        10         4          144       
34.120.208.123:443     10.208.150.159:55184   1202999888   1445993163   311        20         0          290       
34.120.208.123:443     10.208.150.159:55184   1202999967   1445993163   387        22         0          364       
34.120.208.123:443     10.208.150.159:44880   711198291    988324218    8138       7917       5          215       
34.120.208.123:443     10.208.150.159:44888   1802301532   1954082571   9587       9425       4          157       
34.120.208.123:443     10.208.150.159:55184   1203000013   1445993947   99         8          2          88        
34.120.208.123:443     10.208.150.159:55184   1203000088   1445993947   192        14         1          176       
34.120.208.123:443     10.208.150.159:55184   1203000150   1445994592   145        10         4          129       
34.120.208.123:443     10.208.150.159:55184   1203000225   1445994592   247        28         0          218       
average time: 2797.076923 ,median time: 414,tail latency: 10046
34.120.208.123:443     10.208.150.159:55184   1203000510   1445994592   110        5          4          100       
34.120.208.123:443     10.208.150.159:44880   711198447    988324269    352        16         5          330       
34.120.208.123:443     10.208.150.159:44880   711198516    988324463    378        52         1          324       
34.120.208.123:443     10.208.150.159:44888   1802301744   1954082822   262        8          4          248       
34.120.208.123:443     10.208.150.159:44888   1802302330   1954082822   1407       23         0          1383      
34.120.208.123:443     10.208.150.159:55184   1203000556   1445995600   99         9          4          85        
34.120.208.123:443     10.208.150.159:55184   1203000631   1445995600   243        18         0          224       
34.120.208.123:443     10.208.150.159:55184   1203000747   1445996569   121        9          3          107       
34.120.208.123:443     10.208.150.159:55184   1203000822   1445996569   210        22         1          186       
34.120.208.123:443     10.208.150.159:55184   1203000943   1445996569   261        23         0          236       
34.120.208.123:443     10.208.150.159:44870   1333369058   3100973407   283873     9          4          283859    
34.120.208.123:443     10.208.150.159:55184   1203000989   1445997531   109        15         4          89        
34.120.208.123:443     10.208.150.159:55184   1203001064   1445997531   215        27         0          186       
34.120.208.123:443     10.208.150.159:55184   1203001345   1445997531   274        30         0          243       
34.120.208.123:443     10.208.150.159:55184   1203001391   1445998514   119        9          5          104       
34.120.208.123:443     10.208.150.159:55184   1203001466   1445998514   219        22         0          195       
average time: 18015.750000 ,median time: 243,tail latency: 1407
34.120.208.123:443     10.208.150.159:55184   1203001613   1445998514   115        5          3          105       
34.120.208.123:443     10.208.150.159:55184   1203001659   1445999845   110        17         5          87        
34.120.208.123:443     10.208.150.159:55184   1203001734   1445999845   236        24         0          210       
34.120.208.123:443     10.208.150.159:55184   1203001808   1445999845   305        26         0          277       
34.120.208.123:443     10.208.150.159:55184   1203001854   1446008318   158        59         0          98        
34.120.208.123:443     10.208.150.159:55184   1203001929   1446008318   327        63         1          263       
34.120.208.123:443     10.208.150.159:55184   1203002005   1446008318   407        65         1          340       
34.120.208.123:443     10.208.150.159:55184   1203002051   1446009484   125        38         0          86        
average time: 222.875000 ,median time: 236,tail latency: 407
34.120.208.123:443     10.208.150.159:55184   1203002126   1446009484   274        45         1          227       
34.120.208.123:443     10.208.150.159:55184   1203002269   1446009484   345        48         1          295       
34.120.208.123:443     10.208.150.159:55184   1203002315   1446010248   158        11         5          141       
34.120.208.123:443     10.208.150.159:55184   1203002390   1446010248   292        27         1          263       
34.120.208.123:443     10.208.150.159:55184   1203002568   1446010248   57         8          4          45        
34.120.208.123:443     10.208.150.159:55184   1203002614   1446011537   135        11         5          118       
34.120.208.123:443     10.208.150.159:55184   1203002689   1446011537   355        28         0          325       
34.120.208.123:443     10.208.150.159:55184   1203002899   1446011537   48         8          4          35        
223.109.81.200:443     10.208.150.159:56612   4215465229   3551530268   173        69         1          101       
average time: 204.111111 ,median time: 173,tail latency: 355
180.101.49.57:443      10.208.150.159:43646   4051780001   2125767710   158        13         23         121       
180.101.49.57:443      10.208.150.159:43662   686858201    2707094854   225        83         1          141       
180.101.49.57:443      10.208.150.159:43648   2041024390   246962038    101        8          3          88        
180.101.50.22:443      10.208.150.159:50840   2640084459   3267312834   155        30         5          119       
average time: 159.750000 ,median time: 158,tail latency: 225
34.117.237.239:443     10.208.150.159:32774   2902168610   883085969    162        95         0          66        
average time: 162.000000 ,median time: 162,tail latency: 162
34.117.65.55:443       10.208.150.159:36640   827985270    2960999517   1750       101        1          1646      
34.117.237.239:443     10.208.150.159:32774   2902168822   883086033    200        63         0          136       
180.97.107.3:443       10.208.150.159:46546   3908801097   2950919798   137        9          4          122       
34.117.237.239:443     10.208.150.159:32774   2902169408   883086421    137        20         0          116       
34.117.237.239:443     10.208.150.159:32774   2902169439   883086390    409994     72         0          409921    
153.3.237.193:443      10.208.150.159:42146   4118566932   3571008440   225        113        1          111       
153.3.237.193:443      10.208.150.159:42154   2577599706   2998660129   347        39         4          303       
153.3.237.193:443      10.208.150.159:42142   3206726959   3049697311   405        131        1          272       
average time: 51649.375000 ,median time: 347,tail latency: 409994
153.3.237.193:443      10.208.150.159:42166   2915046801   672246438    870        147        16         707       
36.156.187.36:443      10.208.150.159:42362   2919850679   2810822011   166        40         0          125       
average time: 518.000000 ,median time: 870,tail latency: 870
180.97.66.33:443       10.208.150.159:57040   3883771520   1020165903   194        21         4          167       
36.156.187.36:443      10.208.150.159:42350   3903525990   2154321611   182        27         0          154       
182.106.158.36:443     10.208.150.159:42646   3908660658   4018719619   178        23         0          154       
180.97.66.33:443       10.208.150.159:57040   3883771559   1020165903   141        10         4          127       
180.97.66.33:443       10.208.150.159:57040   3883771598   1020165903   299        23         0          274       
36.156.187.36:443      10.208.150.159:42350   3903526029   2154321611   178        6          2          169       
36.156.187.36:443      10.208.150.159:42350   3903526068   2154321611   319        24         1          293       
114.232.92.35:443      10.208.150.159:33104   472144742    188056949    136        23         0          112       
average time: 203.375000 ,median time: 182,tail latency: 319
180.97.64.35:443       10.208.150.159:53970   1639777056   2903748863   147        32         0          114       
average time: 147.000000 ,median time: 147,tail latency: 147
36.156.187.38:443      10.208.150.159:60204   1848996755   3364654927   163        41         0          121       
114.232.92.48:443      10.208.150.159:60266   3379677710   321169651    130        7          4          118       
180.101.50.242:443     10.208.150.159:41652   4291219494   2652760536   119        13         5          101       
58.216.27.36:443       10.208.150.159:40116   3690338011   2758182977   159        45         0          113       
114.232.92.48:443      10.208.150.159:60266   3379677749   321169651    134        61         0          72        
average time: 141.000000 ,median time: 134,tail latency: 163
114.232.92.48:443      10.208.150.159:60266   3379677788   321169651    323        50         0          272       
150.138.110.38:443     10.208.150.159:50142   2701184581   2963989741   132        9          4          118       
182.106.158.36:443     10.208.150.159:42646   3908660697   4018719619   156        32         5          117       
182.106.158.36:443     10.208.150.159:42646   3908660736   4018719619   376        72         1          303       
36.156.187.36:443      10.208.150.159:42362   2919850718   2810822011   120        12         5          102       
average time: 221.400000 ,median time: 156,tail latency: 376
36.156.187.36:443      10.208.150.159:42362   2919850757   2810822011   272        66         1          205       
36.156.187.38:443      10.208.150.159:60204   1848996794   3364654927   123        35         0          87        
36.156.187.38:443      10.208.150.159:60204   1848996833   3364654927   263        43         0          219       
average time: 219.333333 ,median time: 263,tail latency: 272
223.109.44.36:443      10.208.150.159:32822   1476052499   2719567392   156        111        1          43        
223.109.44.36:443      10.208.150.159:32816   3048758213   72332951     238        26         5          205       
223.109.44.36:443      10.208.150.159:32836   2324667929   1377192869   1000       118        1          879       
223.109.44.36:443      10.208.150.159:32844   1654921594   3117752418   220        64         1          154       
58.216.27.36:443       10.208.150.159:40116   3690338050   2758182977   100        8          4          87        
average time: 342.800000 ,median time: 220,tail latency: 1000
58.216.27.36:443       10.208.150.159:40116   3690338089   2758182977   260        36         0          222       
