SADDR:SPORT            DADDR:DPORT            SEQ          ACK          TOTAL      MAC        IP         TCP       
150.138.110.35:443     10.208.150.159:54970   600928867    45407107     399        126        2          271       
150.138.110.35:443     10.208.150.159:55012   2989077630   1531065100   410        93         2          315       
150.138.110.35:443     10.208.150.159:54994   1139863470   1257373128   423        16         6          401       
150.138.110.35:443     10.208.150.159:55012   2989078902   1531065100   106        36         4          65        
150.138.110.35:443     10.208.150.159:54998   2548084443   1339592171   882        66         1          814       
150.138.110.35:443     10.208.150.159:54998   2548085715   1339592171   883        66         0          816       
150.138.110.35:443     10.208.150.159:54958   3404859113   2988455637   1649       74         1          1573      
150.138.110.35:443     10.208.150.159:54958   3404863349   2988455637   1677       18446677869189984 0          66204521243
150.138.110.35:443     10.208.150.159:54970   600933103    45407107     1879       143        1          1733      
36.156.187.38:443      10.208.150.159:60204   1848971105   3364654147   1923       77         0          1845      
36.156.187.38:443      10.208.150.159:60204   1848971392   3364654147   2143       79         0          2062      
36.156.187.38:443      10.208.150.159:60204   1848971679   3364654147   2338       95         1          2242      
36.156.187.38:443      10.208.150.159:60204   1848971741   3364654317   2397       102        1          2293      
150.138.110.35:443     10.208.150.159:54970   600942987    45407107     513        73         4          435       
36.156.187.38:443      10.208.150.159:60204   1848971772   3364654857   599        73         1          524       
150.138.110.35:443     10.208.150.159:54970   600964167    45407107     294        51         1          242       
36.156.187.38:443      10.208.150.159:60204   1848980244   3364654857   313        38         3          271       
36.156.187.38:443      10.208.150.159:60204   1848988716   3364654857   61         13         3          44        
36.156.187.38:443      10.208.150.159:60204   1848994364   3364654857   81         6          2          72        
150.138.110.35:443     10.208.150.159:54982   2694775367   279386154    70         10         0          58        
150.138.110.35:443     10.208.150.159:54970   600972639    45407107     67         17         0          48        
150.138.110.35:443     10.208.150.159:54982   2694775670   279386154    135        17         1          116       
150.138.110.35:443     10.208.150.159:54970   600978287    45407107     132        35         4          93        
150.138.110.35:443     10.208.150.159:54970   600986759    45407107     48         30         0          16        
150.138.110.35:443     10.208.150.159:54994   1139863730   1257373208   57         11         0          45        
150.138.110.35:443     10.208.150.159:54970   600990995    45407107     53         7          1          44        
150.138.110.35:443     10.208.150.159:54994   1139864033   1257373690   1382       1339       1          41        
150.138.110.35:443     10.208.150.159:54970   600995231    45407107     122        56         0          65        
150.138.110.35:443     10.208.150.159:54970   601009351    45407107     108        15         0          91        
150.138.110.35:443     10.208.150.159:55012   2989080143   1531065180   131        18         2          110       
150.138.110.35:443     10.208.150.159:55012   2989080446   1531065180   473        23         1          448       
150.138.110.35:443     10.208.150.159:54958   3404863404   2988456125   124        58         1          64        
150.138.110.35:443     10.208.150.159:54970   601013587    45407107     341        95         1          244       
150.138.110.35:443     10.208.150.159:54998   2548086956   1339592801   374        50         0          323       
150.138.110.35:443     10.208.150.159:54998   2548087259   1339592801   663        68         0          594       
150.138.110.35:443     10.208.150.159:54970   601034767    45407107     381        38         1          340       
150.138.110.35:443     10.208.150.159:55012   2989080749   1531065625   1219       100        1          1117      
150.138.110.35:443     10.208.150.159:55012   2989089221   1531065625   441        29         4          407       
150.138.110.35:443     10.208.150.159:54970   601040415    45407107     98         37         2          58        
150.138.110.35:443     10.208.150.159:54970   601044651    45407107     165        16         3          145       
150.138.110.35:443     10.208.150.159:54970   601048887    45407107     84         15         4          64        
150.138.110.35:443     10.208.150.159:54970   601053123    45407107     60         36         1          21        
150.138.110.35:443     10.208.150.159:54970   601057359    45407107     85         15         3          66        
150.138.110.35:443     10.208.150.159:54970   601061595    45407107     109        18         4          86        
150.138.110.35:443     10.208.150.159:54970   601070067    45407107     43         6          1          35        
150.138.110.35:443     10.208.150.159:54970   601072891    45407107     69         13         2          52        
150.138.110.35:443     10.208.150.159:54982   2694779409   279386604    74         13         4          56        
150.138.110.35:443     10.208.150.159:54994   1139865372   1257374239   1476       1377       3          95        
150.138.110.35:443     10.208.150.159:54958   3404866036   2988456675   2183       2045       5          132       
114.232.92.48:443      10.208.150.159:60266   3379671431   321168045    9938       9861       6          71        
180.101.49.57:443      10.208.150.159:43646   4051772822   2125762637   75         26         5          43        
180.101.49.57:443      10.208.150.159:43646   4051777988   2125762730   43         21         0          21        
180.101.49.57:443      10.208.150.159:43648   2041011832   246946806    37         11         2          24        
150.138.110.35:443     10.208.150.159:55012   2989090322   1531066143   71         16         3          51        
180.101.49.57:443      10.208.150.159:43646   4051778158   2125763856   229        25         1          202       
180.101.49.57:443      10.208.150.159:43646   4051778509   2125763856   349        27         1          320       
150.138.110.35:443     10.208.150.159:54958   3404866848   2988457197   97         24         2          71        
180.101.49.57:443      10.208.150.159:43648   2041016998   246946899    328        11         4          312       
150.138.110.35:443     10.208.150.159:54970   601077733    45407540     154        27         4          122       
180.101.49.57:443      10.208.150.159:43648   2041017168   246947630    108        10         4          93        
180.101.49.57:443      10.208.150.159:43648   2041017512   246947630    184        21         1          161       
180.101.49.57:443      10.208.150.159:43646   4051778581   2125765510   157        97         1          57        
180.101.49.57:443      10.208.150.159:43646   4051778933   2125765510   273        108        1          164       
180.101.49.57:443      10.208.150.159:43648   2041017601   246949195    714        87         2          625       
180.101.49.57:443      10.208.150.159:43648   2041017953   246949195    791        94         1          695       
180.101.49.57:443      10.208.150.159:43662   686857195    2707092252   1148       65         1          1080      
180.101.49.57:443      10.208.150.159:43662   686857353    2707093462   2648       11         4          2632      
180.101.49.57:443      10.208.150.159:43662   686857704    2707093462   2758       20         1          2735      
180.101.49.57:443      10.208.150.159:43678   2998310200   881962302    3838       22         1          3814      
180.101.49.57:443      10.208.150.159:43646   4051779062   2125766325   130        22         21         86        
180.101.49.57:443      10.208.150.159:43646   4051779393   2125766325   226        50         0          175       
180.97.107.3:443       10.208.150.159:46546   3908793500   2950913863   101        19         3          79        
180.101.49.57:443      10.208.150.159:43688   847399304    899453500    104        18         4          80        
180.97.107.3:443       10.208.150.159:46546   3908798666   2950913956   255        21         1          233       
180.101.49.57:443      10.208.150.159:43688   847404470    899453593    128        21         0          106       
114.232.92.48:443      10.208.150.159:60266   3379671997   321168248    748        24         1          723       
114.232.92.48:443      10.208.150.159:60266   3379672797   321168415    137        36         27         73        
180.97.107.3:443       10.208.150.159:46546   3908798836   2950917567   131        15         4          111       
180.97.107.3:443       10.208.150.159:46546   3908800044   2950917567   296        42         1          253       
180.97.107.3:443       10.208.150.159:46546   3908800276   2950917567   372        43         19         309       
180.101.49.57:443      10.208.150.159:43648   2041018082   246949982    266        18         3          244       
180.101.49.57:443      10.208.150.159:43648   2041018440   246949982    374        23         1          349       
180.101.49.57:443      10.208.150.159:43700   223298099    3718405184   70         15         4          50        
180.101.49.57:443      10.208.150.159:43648   2041022832   246951334    119        10         4          104       
180.101.49.57:443      10.208.150.159:43648   2041023183   246951334    205        22         1          180       
180.101.49.57:443      10.208.150.159:43700   223303265    3718405277   400        284        2          113       
58.216.27.36:443       10.208.150.159:40116   3690294914   2758181892   271        115        0          154       
